Time,Score,Moves
05:12,97,2623
04:28,97,2371
04:32,97,2455
04:28,97,2430
04:36,97,2466
04:28,97,2359
04:04,97,2210
04:32,97,2454
05:12,97,2792
04:24,97,2401
04:48,97,2563
05:28,97,2454
05:40,97,2345
06:04,97,2693
04:40,97,2511
05:00,97,2699
05:24,97,2653
05:36,97,2614
05:20,97,2537
05:00,97,2583
05:08,97,2493
04:36,97,2414
04:32,97,2421
04:36,97,2471
04:12,97,2215
04:52,97,2622
04:48,97,2632
04:24,97,2327
04:00,97,2164
04:36,97,2464
04:40,97,2380
04:52,97,2432
04:28,97,2392
05:16,97,2729
04:36,97,2332
04:44,97,2440
04:48,97,2439
04:08,97,2175
04:44,97,2445
