Time,Score,Moves
02:52,97,1735
03:20,97,2018
03:08,97,1868
03:12,97,1916
03:04,97,1861
00:44,22,447
02:52,97,1726
00:44,25,457
01:00,36,622
03:20,97,1994
02:56,97,1749
03:20,97,2000
02:04,45,1252
02:40,97,1608
02:48,97,1687
02:44,97,1658
03:08,97,1878
03:00,97,1817
01:24,40,836
01:04,34,645
01:12,33,735
02:56,97,1753
02:52,97,1717
03:12,97,1917
03:00,97,1802
03:12,97,1945
02:48,97,1707
00:24,14,271
02:44,97,1666
03:08,97,1874
01:28,34,875
03:04,97,1849
02:56,97,1762
02:40,97,1606
03:00,97,1819
02:56,97,1785
01:12,33,717
03:00,97,1797
00:36,20,365
01:08,38,689
01:04,29,667
03:24,97,2038
02:40,97,1616
03:00,97,1823
00:36,23,375
01:04,36,661
00:44,20,441
03:12,97,1920
03:04,97,1856
02:56,97,1769
02:48,97,1685
02:56,97,1767
03:04,97,1860
00:56,34,575
03:16,97,1951
03:28,97,2081
03:20,97,2007
01:12,37,747
00:28,19,304
03:24,97,2033
03:04,97,1831
03:00,97,1798
00:48,29,508
01:24,37,863
03:20,97,2000
02:52,97,1716
02:52,97,1718
02:52,97,1746
03:12,97,1920
03:12,97,1917
03:00,97,1793
01:20,36,799
01:12,33,747
03:04,97,1839
02:44,97,1665
03:12,97,1912
01:08,27,680
03:20,97,2007
00:56,27,545
03:04,97,1833
03:12,97,1926
02:48,97,1700
00:40,24,423
02:52,97,1715
03:20,97,2013
03:12,97,1927
03:04,97,1856
02:56,97,1767
03:00,97,1791
03:04,97,1855
03:20,97,1984
01:36,46,986
01:00,30,622
01:28,36,880
02:36,97,1552
01:16,33,773
00:32,21,339
01:32,40,934
02:44,97,1639
03:24,97,2026
02:52,97,1742
03:12,97,1911
00:48,30,489
01:28,39,887
03:00,97,1794
00:40,23,419
03:12,97,1938
03:04,97,1854
03:32,97,2112
00:48,25,503
03:04,97,1839
00:36,20,382
00:40,27,427
02:36,97,1582
03:04,97,1835
02:40,97,1593
00:36,22,364
02:52,97,1730
01:04,31,641
02:52,97,1723
03:00,97,1784
01:04,31,651
03:08,97,1852
01:28,40,891
03:16,97,1944
02:56,97,1751
03:12,97,1910
02:52,97,1704
03:08,97,1883
03:28,97,2072
03:12,97,1920
02:56,97,1748
03:00,97,1795
01:24,37,839
01:04,31,671
