Time,Score,Moves
04:12,97,2442
04:20,97,2593
04:32,97,2625
04:12,97,2499
04:04,97,2417
04:08,97,2477
04:04,97,2428
03:52,97,2304
04:36,97,2762
04:24,97,2617
04:36,97,2570
04:12,97,2497
04:24,97,2584
03:56,97,2315
03:24,97,1921
04:36,97,2637
04:12,97,2380
03:52,97,2285
04:36,97,2716
04:40,97,2739
04:12,97,2470
04:12,97,2491
04:24,97,2579
04:28,97,2642
04:24,97,2592
04:28,97,2627
04:36,97,2693
03:56,97,2374
04:04,97,2444
04:16,97,2509
04:04,97,2397
04:20,97,2550
03:44,97,2230
04:28,97,2656
04:20,97,2494
04:24,97,2622
04:04,97,2386
04:16,97,2458
04:12,97,2505
03:32,97,2120
03:48,97,2289
04:32,97,2701
04:08,97,2485
04:16,97,2421
03:40,97,2142
04:16,97,2495
03:24,97,2045
04:00,97,2371
03:48,97,2166
04:24,97,2636
03:56,97,2363
03:48,97,2278
04:16,97,2563
03:40,97,2197
04:36,97,2558
04:32,97,2397
04:44,97,2660
04:52,97,2543
04:00,97,2234
04:28,97,2391
04:44,97,2514
04:00,97,2158
05:36,97,2815
04:00,97,2371
04:20,97,2577
04:16,97,2556
03:56,97,2370
04:12,97,2492
04:00,97,2382
04:04,97,2292
04:52,97,2505
04:48,97,2638
04:08,97,2384
04:32,97,2632
03:52,97,2249
04:24,97,2427
05:00,97,2668
04:44,97,2313
04:52,97,2574
04:20,97,2497
04:04,97,2390
04:08,97,2474
04:12,97,2511
03:48,97,2273
04:04,97,2456
03:52,97,2314
03:56,97,2341
03:40,97,2212
04:00,97,2421
04:16,97,2549
04:32,97,2721
04:24,97,2633
03:40,97,2186
04:32,97,2714
03:52,97,2341
04:04,97,2440
03:24,97,2061
03:56,97,2372
03:48,97,2281
04:32,97,2728
04:16,97,2541
03:48,97,2289
04:36,97,2750
04:16,97,2552
04:16,97,2571
03:56,97,2346
03:44,97,2226
03:44,97,2241
04:12,97,2523
04:16,97,2559
04:24,97,2630
04:08,97,2461
04:24,97,2619
04:08,97,2476
04:04,97,2446
04:20,97,2598
04:08,97,2463
04:16,97,2553
04:12,97,2520
04:36,97,2752
04:16,97,2537
04:20,97,2617
03:48,97,2296
04:24,97,2638
04:32,97,2728
04:28,97,2670
04:08,97,2492
03:56,97,2313
04:32,97,2672
04:08,97,2398
04:32,97,2638
04:16,97,2501
04:24,97,2568
04:16,97,2481
04:44,97,2753
04:12,97,2478
04:44,97,2659
04:20,97,2496
03:48,97,2224
04:00,97,2369
04:36,97,2751
04:16,97,2542
04:32,97,2706
04:20,97,2603
04:04,97,2430
04:20,97,2616
04:12,97,2518
04:36,97,2759
03:52,97,2339
04:44,97,2826
03:52,97,2337
04:00,97,2401
04:08,97,2461
04:44,97,2849
03:56,97,2368
04:04,97,2423
03:56,97,2349
03:56,97,2366
04:24,97,2594
04:08,97,2469
04:20,97,2599
03:48,97,2270
